205,00	 53,652
206,00	 53,618
207,00	 53,595
208,00	 53,586
209,00	 53,600
210,00	 53,613
211,00	 53,615
212,00	 53,606
213,00	 53,582
214,00	 53,566
215,00	 53,574
216,00	 53,606
217,00	 53,639
218,00	 53,652
219,00	 53,617
220,00	 53,562
221,00	 53,524
222,00	 53,524
223,00	 53,553
224,00	 53,609
225,00	 53,695
226,00	 53,772
227,00	 53,769
228,00	 53,643
229,00	 53,482
230,00	 53,387
231,00	 53,440
232,00	 53,553
233,00	 53,627
234,00	 53,617
235,00	 53,570
236,00	 53,520
237,00	 53,501
238,00	 53,513
239,00	 53,536
240,00	 53,561
241,00	 53,579
242,00	 53,592
243,00	 53,602
244,00	 53,609
245,00	 53,611
246,00	 53,595
247,00	 53,570
248,00	 53,564
249,00	 53,573
250,00	 53,591
251,00	 53,612
252,00	 53,622
253,00	 53,614
254,00	 53,597
255,00	 53,570
256,00	 53,524
257,00	 53,453
258,00	 53,394
259,00	 53,406
260,00	 53,516
261,00	 53,654
262,00	 53,742
263,00	 53,724
264,00	 53,680
265,00	 53,671
266,00	 53,695
267,00	 53,727
268,00	 53,749
269,00	 53,744
270,00	 53,720
271,00	 53,691
272,00	 53,659
273,00	 53,625
274,00	 53,595
275,00	 53,573
276,00	 53,564
277,00	 53,582
278,00	 53,615
279,00	 53,644
280,00	 53,658
281,00	 53,658
282,00	 53,650
283,00	 53,631
284,00	 53,611
285,00	 53,593
286,00	 53,577
287,00	 53,572
288,00	 53,602
289,00	 53,690
290,00	 53,792
291,00	 53,843
292,00	 53,800
293,00	 53,719
294,00	 53,656
295,00	 53,649
296,00	 53,653
297,00	 53,651
298,00	 53,663
299,00	 53,684
300,00	 53,708
301,00	 53,721
302,00	 53,711
303,00	 53,688
304,00	 53,660
305,00	 53,635
306,00	 53,632
307,00	 53,643
308,00	 53,654
309,00	 53,655
310,00	 53,652
311,00	 53,661
312,00	 53,697
313,00	 53,741
314,00	 53,765
315,00	 53,742
316,00	 53,704
317,00	 53,670
318,00	 53,623
319,00	 53,572
320,00	 53,532
321,00	 53,524
322,00	 53,559
323,00	 53,616
324,00	 53,653
325,00	 53,672
326,00	 53,673
327,00	 53,658
328,00	 53,652
329,00	 53,669
330,00	 53,696
331,00	 53,726
332,00	 53,753
333,00	 53,768
334,00	 53,767
335,00	 53,759
336,00	 53,749
337,00	 53,743
338,00	 53,741
339,00	 53,741
340,00	 53,741
341,00	 53,743
342,00	 53,762
343,00	 53,795
344,00	 53,815
345,00	 53,817
346,00	 53,803
347,00	 53,770
348,00	 53,743
349,00	 53,736
350,00	 53,754
351,00	 53,776
352,00	 53,786
353,00	 53,766
354,00	 53,741
355,00	 53,724
356,00	 53,710
357,00	 53,700
358,00	 53,698
359,00	 53,717
360,00	 53,770
361,00	 53,839
362,00	 53,881
363,00	 53,899
364,00	 53,884
365,00	 53,836
366,00	 53,800
367,00	 53,780
368,00	 53,764
369,00	 53,748
370,00	 53,737
371,00	 53,735
372,00	 53,744
373,00	 53,766
374,00	 53,761
375,00	 53,726
376,00	 53,724
377,00	 53,754
378,00	 53,795
379,00	 53,832
380,00	 53,827
381,00	 53,772
382,00	 53,696
383,00	 53,631
384,00	 53,609
385,00	 53,662
386,00	 53,736
387,00	 53,768
388,00	 53,735
389,00	 53,680
390,00	 53,645
391,00	 53,667
392,00	 53,710
393,00	 53,739
394,00	 53,739
395,00	 53,727
396,00	 53,715
397,00	 53,723
398,00	 53,760
399,00	 53,806
400,00	 53,845
401,00	 53,850
402,00	 53,805
403,00	 53,743
404,00	 53,692
405,00	 53,679
406,00	 53,689
407,00	 53,695
408,00	 53,699
409,00	 53,707
410,00	 53,724
411,00	 53,759
412,00	 53,804
413,00	 53,833
414,00	 53,811
415,00	 53,767
416,00	 53,736
417,00	 53,743
418,00	 53,756
419,00	 53,747
420,00	 53,729
421,00	 53,717
422,00	 53,727
423,00	 53,769
424,00	 53,797
425,00	 53,805
426,00	 53,819
427,00	 53,839
428,00	 53,862
429,00	 53,881
430,00	 53,888
431,00	 53,889
432,00	 53,882
433,00	 53,881
434,00	 53,917
435,00	 53,978
436,00	 54,036
437,00	 54,069
438,00	 54,061
439,00	 54,036
440,00	 54,029
441,00	 54,040
442,00	 54,053
443,00	 54,056
444,00	 54,045
445,00	 54,042
446,00	 54,075
447,00	 54,128
448,00	 54,172
449,00	 54,187
450,00	 54,180
451,00	 54,180
452,00	 54,198
453,00	 54,228
454,00	 54,265
455,00	 54,317
456,00	 54,404
457,00	 54,529
458,00	 54,642
459,00	 54,743
460,00	 54,834
461,00	 54,915
462,00	 54,984
463,00	 55,037
464,00	 55,046
465,00	 55,041
466,00	 55,216
467,00	 55,530
468,00	 55,890
469,00	 56,277
470,00	 56,622
471,00	 57,087
472,00	 57,809
473,00	 58,739
474,00	 59,967
475,00	 61,740
476,00	 63,560
477,00	 65,576
478,00	 67,859
479,00	 70,117
480,00	 72,056
481,00	 73,323
482,00	 74,125
483,00	 74,588
484,00	 74,223
485,00	 73,276
486,00	 71,818
487,00	 69,787
488,00	 67,630
489,00	 65,231
490,00	 62,916
491,00	 60,800
492,00	 59,150
493,00	 58,250
494,00	 57,609
495,00	 56,954
496,00	 56,407
497,00	 56,082
498,00	 55,853
499,00	 55,611
500,00	 55,403
501,00	 55,281
502,00	 55,231
503,00	 55,161
504,00	 55,061
505,00	 54,959
506,00	 54,880
507,00	 54,861
508,00	 54,902
509,00	 54,961
510,00	 54,999
511,00	 55,010
512,00	 54,995
513,00	 54,950
514,00	 54,925
515,00	 54,933
516,00	 54,941
517,00	 54,948
518,00	 54,970
519,00	 55,028
520,00	 55,113
521,00	 55,219
522,00	 55,314
523,00	 55,376
524,00	 55,355
525,00	 55,220
526,00	 55,107
527,00	 55,052
528,00	 55,057
529,00	 55,144
530,00	 55,237
531,00	 55,298
532,00	 55,339
533,00	 55,355
534,00	 55,337
535,00	 55,303
536,00	 55,285
537,00	 55,291
538,00	 55,322
539,00	 55,393
540,00	 55,480
541,00	 55,577
542,00	 55,684
543,00	 55,778
